source,company,title,link,experience_years,education,salary,tech_stack,qualifications,preferred,responsibilities,benefits
사람인,(주)데이터마케팅코리아,"Data&AI Engineer(Core Member, MidLevel+) 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52312162,,,,,,,,
사람인,씨제이올리브영(주),[CJ올리브영] Data Platform Engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52764809,,,,,,,,
사람인,팀스파르타(주),Data EngineerIntern,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52706796,,,,,,,,
사람인,토스증권(주),Data Engineer(Finance),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52684482,,,,,,,,
사람인,(주)카카오,Data Analytics Engineer (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52185015,,,,,,,,
사람인,토스증권(주),Data Analytics Engineer(Platform),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52658793,,,,,,,,
사람인,토스증권(주),Data Analytics Engineer(CPC Mart),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52658792,,,,,,,,
사람인,(주)위버케어,병원EMR 데이터 마이그레이션 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52751846,,,,,,,,
사람인,(주)레진엔터테인먼트,[다우키움 계열사] 데이터 엔지니어 (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52746560,,,,,,,,
사람인,(주)클라우드네트웍스,[클라우드네트웍스] 빅데이터 솔루션 엔지니어 모집 (신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52357633,,,,,,,,
사람인,(주)피너클써치,"[ 데이터 엔지니어 경력 3-11년, 대기업 광고대행사 ]",https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52704959,,,,,,,,
사람인,(주)케이비헬스케어,[KB금융그룹 계열] KB헬스케어 데이터 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52741933,,,,,,,,
사람인,(주)디케이테크인,[IDC] 카카오엔터프라이즈 데이터센터 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52778709,,,,,,,,
사람인,디알씨티에스(주),삼성바이오에피스   데이터 엔지니어 인력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52691467,,,,,,,,
사람인,주식회사 디씨피,데이터센터 엔지니어 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52299916,,,,,,,,
사람인,넷마블(주),데이터 프로덕트 엔지니어 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52651912,,,,,,,,
사람인,(주)빅아이디언,[빅아이디언] 빅데이터 솔루션 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52290200,,,,,,,,
사람인,(주)피비스,AWS / Snowflake 데이터 엔지니어 경력 개발자 구인,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52772064,,,,,,,,
사람인,(주)퀸텟시스템즈,[정규직] 데이터 엔지니어 (3년 이상 경력자),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52569680,,,,,,,,
사람인,주식회사 이지에스브이에스코리아,IDC인터넷 데이터 센터 IT 운영 엔지니어(중국어 필수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52769600,,,,,,,,
사람인,(주)소프트인,[경력] AI/데이터 엔지니어 채용 공고 (내국인/과장급),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52712343,,,,,,,,
사람인,(주)미리비트,"빅데이터,서버백엔드 엔지니어/13~15년",https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52570652,,,,,,,,
사람인,(주)미리비트,"빅데이터,서버백엔드 엔지니어/16년~",https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52570927,,,,,,,,
