source,title,company,link,conditions,sector,raw_text,tech_stack
사람인,[데이터엔지니어] AI 에이전트 백엔드 개발자를 모집,(주)데이타몬드,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52743896&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=b33acae3-8d35-46d6-8a35-f1597088202f,"['서울강서구', '경력5년↑', '대졸↑', '정규직·파트']","데이터엔지니어,백엔드/서버개발,Python,머신러닝,딥러닝외수정일 26/01/06","연봉상승률 15% 이상 [데이터엔지니어] AI 에이전트 백엔드 개발자를 모집 스크랩 ~ 03/07(토) 입사지원 서울 강서구 경력5년↑ 대졸↑ 정규직·파트 데이터엔지니어 , 백엔드/서버개발 , Python , 머신러닝 , 딥러닝 외 수정일 26/01/06 (주)데이타몬드 관심기업 등록 관심기업 등록 기업정보 공고 모아보기 +",['Python']
사람인,데이터 엔지니어채용(경력 5~7년),(주)올라핀테크,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52753668&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=b33acae3-8d35-46d6-8a35-f1597088202f,"['서울강남구', '경력 5~7년', '학력무관', '정규직']","데이터엔지니어,데이터시각화,데이터마이닝,데이터라벨링,AWS외수정일 26/01/07","합격 시 50만원 데이터 엔지니어 채용(경력 5~7년) 스크랩 ~ 02/05(목) 입사지원 서울 강남구 경력 5~7년 학력무관 정규직 데이터엔지니어 , 데이터시각화 , 데이터마이닝 , 데이터라벨링 , AWS 외 수정일 26/01/07 (주)올라핀테크 관심기업 등록 관심기업 등록 기업정보 공고 모아보기 +",['AWS']
사람인,"데이터엔지니어, AI엔지니어 채용",(주)스마트프로,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52469288&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=b33acae3-8d35-46d6-8a35-f1597088202f,"['대전유성구', '경력 3~6년', '대졸↑', '정규직']","빅데이터,Python,AI(인공지능),SQL,API외등록일 25/12/03","연봉상승률 15% 이상 데이터엔지니어, AI엔지니어 채용 스크랩 상시채용 입사지원 대전 유성구 경력 3~6년 대졸↑ 정규직 빅데이터 , Python , AI(인공지능) , SQL , API 외 등록일 25/12/03 (주)스마트프로 관심기업 등록 관심기업 등록 기업정보 공고 모아보기 +","['SQL', 'Python', 'REST API']"
사람인,데이터 엔지니어채용,(주)완드,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52641911&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=b33acae3-8d35-46d6-8a35-f1597088202f,"['서울서초구', '경력 2~10년', '학력무관', '정규직']","데이터엔지니어,Python,MySQL,Java,Kafka외수정일 25/12/23","합격 시 50만원 데이터 엔지니어 채용 스크랩 ~ 01/21(수) 입사지원 서울 서초구 경력 2~10년 학력무관 정규직 데이터엔지니어 , Python , MySQL , Java , Kafka 외 수정일 25/12/23 (주)완드 관심기업 등록 관심기업 등록 기업정보 공고 모아보기 +","['Python', 'MySQL', 'Kafka', 'Java', 'SQL']"
사람인,[삼성전자GMO] GCP TA ·데이터 엔지니어· Java 개발자 모집,마이데이터(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52744751&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=b33acae3-8d35-46d6-8a35-f1597088202f,"['서울서초구', '경력6년↑', '학력무관', '프리랜서']","Java,클라우드,SI·시스템통합,시스템관리수정일 26/01/06","IT개발·데이터 지원 급상승 [삼성전자GMO] GCP TA · 데이터 엔지니어 · Java 개발자 모집 스크랩 ~ 02/05(목) 입사지원 서울 서초구 경력6년↑ 학력무관 프리랜서 Java , 클라우드 , SI·시스템통합 , 시스템관리 수정일 26/01/06 마이데이터(주) 관심기업 등록 관심기업 등록 기업정보 공고 모아보기 +","['Java', 'GCP']"
사람인,데이터엔지니어(3년 이상),(주)딥세일즈,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52553008&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=b33acae3-8d35-46d6-8a35-f1597088202f,"['서울강남구', '경력 5~20년', '학력무관', '정규직']","데이터엔지니어,데이터분석가,데이터시각화,데이터마이닝,데이터라벨링외수정일 25/12/29","연봉상승률 30% 이상 데이터엔지니어(3년 이상) 스크랩 채용시 입사지원 서울 강남구 경력 5~20년 학력무관 정규직 데이터엔지니어 , 데이터분석가 , 데이터시각화 , 데이터마이닝 , 데이터라벨링 외 수정일 25/12/29 (주)딥세일즈 관심기업 등록 관심기업 등록 기업정보 공고 모아보기 +",[]
사람인,데이터엔지니어(5년 이상),(주)딥세일즈,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52629672&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=b33acae3-8d35-46d6-8a35-f1597088202f,"['서울강남구', '경력 5~20년', '학력무관', '정규직']","데이터엔지니어,소프트웨어개발수정일 25/12/23","합격 시 50만원 데이터엔지니어(5년 이상) 스크랩 ~ 01/20(화) 입사지원 서울 강남구 경력 5~20년 학력무관 정규직 데이터엔지니어 , 소프트웨어개발 수정일 25/12/23 (주)딥세일즈 관심기업 등록 관심기업 등록 기업정보 공고 모아보기 +",[]
사람인,GCP기반  데이터엔지니어,엔터웨이파트너스,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52758465&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=b33acae3-8d35-46d6-8a35-f1597088202f,"['서울강남구', '경력3년↑', '학력무관', '정규직']","데이터엔지니어,의료기기등록일 26/01/07","재택근무 GCP기반  데이터엔지니어 스크랩 ~ 01/22(목) 입사지원 서울 강남구 경력3년↑ 학력무관 정규직 데이터엔지니어 , 의료기기 등록일 26/01/07 엔터웨이파트너스 관심기업 등록 관심기업 등록 기업정보 공고 모아보기 +",['GCP']
사람인,데이터 엔지니어경력직 채용,(주)레인보우8,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52479942&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=b33acae3-8d35-46d6-8a35-f1597088202f,"['서울강남구', '경력3년↑', '초대졸↑', '정규직']","데이터엔지니어,데이터분석가,데이터마이닝,데이터 사이언티스트,광고기획사외등록일 25/12/04","자유로운 연차 데이터 엔지니어 경력직 채용 스크랩 상시채용 입사지원 서울 강남구 경력3년↑ 초대졸↑ 정규직 데이터엔지니어 , 데이터분석가 , 데이터마이닝 , 데이터 사이언티스트 , 광고기획사 외 등록일 25/12/04 (주)레인보우8 관심기업 등록 관심기업 등록 기업정보 공고 모아보기 +",[]
사람인,"[데이터 엔지니어경력 3-11년, 대기업 광고대행사 ]",(주)피너클써치,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52704959&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=695f5df9-3ccc-4028-877d-133e483071ee,"['서울강남구', '경력3년↑', '대졸↑', '정규직']","데이터엔지니어,데이터분석가,데이터시각화,데이터마이닝,데이터라벨링외수정일 26/01/09","[ 데이터 엔지니어 경력 3-11년, 대기업 광고대행사 ] 스크랩 ~ 01/12(월) 입사지원 서울 강남구 경력3년↑ 대졸↑ 정규직 데이터엔지니어 , 데이터분석가 , 데이터시각화 , 데이터마이닝 , 데이터라벨링 외 수정일 26/01/09 (주)피너클써치 관심기업 등록 관심기업 등록 기업정보 공고 모아보기 +",[]
